股票代码,股票名称,成交价,成交量(手数),成交金额
000045.SZ,深纺织A,11.24,265,297860.0
002235.SZ,安妮股份,7.6,1269,964440.0
002826.SZ,易明医药,10.96,147,161112.0
603998.SH,方盛制药,9.54,1217,1161018.0
002231.SZ,奥维通信,7.18,2914,2092252.0
600785.SH,新华百货,13.34,436,581624.0
002394.SZ,联发股份,8.35,19,15865.0
300086.CY,康芝药业,5.99,2125,1272875.0
002827.SZ,高争民爆,15.32,2891,4429012.0
603530.SH,神马电力,13.64,61,83204.0
002289.SZ,宇顺电子,6.15,6,3690.0
603758.SH,秦安股份,10.8,264,285120.0
603529.SH,爱玛科技,28.2,75,211500.0
603102.SH,百合股份,38.0,67,254600.0
603912.SH,佳力图,9.5,4360,4142000.0
300254.CY,仟源医药,9.15,79,72285.0
301059.CY,金三江,11.51,4,4604.0
002172.SZ,澳洋健康,3.63,451,163713.0
002343.SZ,慈文传媒,6.11,44,26884.0
000863.SZ,三湘印象,3.42,666,227772.0
000948.SZ,南天信息,16.05,584,937320.0
000409.SZ,云鼎科技,7.8,6237,4864860.0
600223.SH,鲁商发展,9.14,595,543830.0
600319.SH,亚星化学,4.93,46,22678.0
603232.SH,格尔软件,12.55,145,181975.0
603171.SH,税友股份,30.8,43,132440.0
002474.SZ,榕基软件,6.86,86,58996.0
002528.SZ,英飞拓,8.19,1562,1279278.0
002317.SZ,众生药业,17.14,1260,2159640.0
000032.SZ,深桑达A,19.41,383,743403.0
688051.KC,佳华科技,31.74,63.380001068115234,201168.0
603790.SH,雅运股份,13.5,11,14850.0
002279.SZ,久其软件,6.7,1073,718910.0
002401.SZ,中远海科,17.26,598,1032148.0
000921.SZ,海信家电,23.76,243,577368.0
002912.SZ,中新赛克,29.95,43,128785.0
002467.SZ,二六三,4.66,684,318744.0
301153.CY,中科江南,57.82,13,75166.0
000419.SZ,通程控股,5.26,510,268260.0
002615.SZ,哈尔斯,6.94,419,290786.0
股票代码,股票名称,成交价,成交量(手数),成交金额
000628.SZ,高新发展,31.82,2075,6602650.0
002671.SZ,龙泉股份,6.88,251835,173262480.0
002682.SZ,龙洲股份,7.45,23936,17832320.0
002991.SZ,甘源食品,75.0,405,3037500.0
003039.SZ,顺控发展,20.26,35975,72885350.0
603788.SH,宁波高发,20.13,5515,11101695.0
300262.CY,巴安水务,4.2,122297,51364740.0
301151.CY,冠龙节能,31.73,79250,251460250.0
603236.SH,移远通信,48.77,3476,16952452.0
603266.SH,天龙股份,22.36,3238,7240168.0
600418.SH,江淮汽车,19.84,86901,172411584.0
600203.SH,福日电子,9.0,62826,56543400.0
002886.SZ,沃特股份,21.43,15413,33030059.0
603130.SH,云中马,24.59,2526,6211434.0
002253.SZ,川大智胜,16.5,20932,34537800.0
002316.SZ,亚联发展,7.37,71284,52536308.0
000555.SZ,神州信息,12.55,10958,13752290.0
600745.SH,闻泰科技,48.34,10755,51989670.0
600853.SH,龙建股份,5.31,108468,57596508.0
002332.SZ,仙琚制药,10.87,4872,5295864.0
002457.SZ,青龙管业,10.25,45003,46128075.0
300250.CY,初灵信息,19.53,14310,27947430.0
001319.SZ,铭科精技,34.41,17974,61848534.0
603219.SH,富佳股份,16.1,5370,8645700.0
002232.SZ,启明信息,18.51,15479,28651629.0
603768.SH,常青股份,30.16,11472,34599552.0
002771.SZ,真视通,37.63,36892,138824596.0
300375.CY,鹏翎股份,6.51,141637,92205687.0
002580.SZ,圣阳股份,9.14,15181,13875434.0
300123.CY,亚光科技,8.96,69931,62658176.0
603037.SH,凯众股份,20.8,13556,28196480.0
603985.SH,恒润股份,47.26,28874,136458524.0
600775.SH,南京熊猫,8.61,4204,3619644.0
002361.SZ,神剑股份,4.12,43156,17780272.0
002965.SZ,祥鑫科技,45.0,4469,20110500.0
300342.CY,天银机电,23.0,44563,102494900.0
001896.SZ,豫能控股,4.63,16548,7661724.0
603679.SH,华体科技,16.0,9416,15065600.0
002281.SZ,光迅科技,29.44,14194,41787136.0
000541.SZ,佛山照明,8.5,53676,45624600.0
000631.SZ,顺发恒业,4.41,141800,62533800.0
301131.CY,聚赛龙,56.96,2125,12104000.0
